value,coordinates,sensor_id,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,summary.min,summary.q02,summary.q25,summary.median,summary.q75,summary.q98,summary.max,summary.avg,summary.sd,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
852.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-25T15:00:00Z,2024-04-26T00:00:00+09:00,2024-04-26T15:00:00Z,2024-04-27T00:00:00+09:00,14.0,14.460000038146973,16.0,21.0,23.25,9999.0,9999.0,851.5833129882812,2817.372314453125,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-25T16:00:00Z,2024-04-26T01:00:00+09:00,2024-04-26T15:00:00Z,2024-04-27T00:00:00+09:00
444.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-26T15:00:00Z,2024-04-27T00:00:00+09:00,2024-04-27T15:00:00Z,2024-04-28T00:00:00+09:00,16.0,17.3799991607666,22.0,29.0,35.25,5418.31982421875,9999.0,443.7083435058594,2035.2801513671875,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-26T16:00:00Z,2024-04-27T01:00:00+09:00,2024-04-27T15:00:00Z,2024-04-28T00:00:00+09:00
31.8,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-27T15:00:00Z,2024-04-28T00:00:00+09:00,2024-04-28T15:00:00Z,2024-04-29T00:00:00+09:00,16.0,16.0,27.0,34.0,37.25,43.540000915527344,44.0,31.75,8.258066177368164,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-27T16:00:00Z,2024-04-28T01:00:00+09:00,2024-04-28T15:00:00Z,2024-04-29T00:00:00+09:00
852.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-28T15:00:00Z,2024-04-29T00:00:00+09:00,2024-04-29T15:00:00Z,2024-04-30T00:00:00+09:00,9.0,9.0,13.5,18.5,29.0,9999.0,9999.0,851.5416870117188,2817.3935546875,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-28T16:00:00Z,2024-04-29T01:00:00+09:00,2024-04-29T15:00:00Z,2024-04-30T00:00:00+09:00
18.3,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-29T15:00:00Z,2024-04-30T00:00:00+09:00,2024-04-30T15:00:00Z,2024-05-01T00:00:00+09:00,11.0,11.0,13.75,17.0,22.5,27.079999923706055,28.0,18.25,5.185682773590088,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-29T16:00:00Z,2024-04-30T01:00:00+09:00,2024-04-30T15:00:00Z,2024-05-01T00:00:00+09:00
12.1,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-04-30T15:00:00Z,2024-05-01T00:00:00+09:00,2024-05-01T15:00:00Z,2024-05-02T00:00:00+09:00,8.0,8.460000038146973,9.75,10.0,15.0,18.15999984741211,20.0,12.083333015441895,3.2559866905212402,24,24:00:00,24,24:00:00,100.0,100.0,2024-04-30T16:00:00Z,2024-05-01T01:00:00+09:00,2024-05-01T15:00:00Z,2024-05-02T00:00:00+09:00
14.7,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-05-01T15:00:00Z,2024-05-02T00:00:00+09:00,2024-05-02T15:00:00Z,2024-05-03T00:00:00+09:00,8.0,8.460000038146973,11.75,15.0,18.0,21.0,21.0,14.708333015441895,3.96154522895813,24,24:00:00,24,24:00:00,100.0,100.0,2024-05-01T16:00:00Z,2024-05-02T01:00:00+09:00,2024-05-02T15:00:00Z,2024-05-03T00:00:00+09:00
432.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-05-02T15:00:00Z,2024-05-03T00:00:00+09:00,2024-05-03T15:00:00Z,2024-05-04T00:00:00+09:00,10.0,10.0,13.0,15.5,18.75,5411.419921875,9999.0,431.9583435058594,2037.7763671875,24,24:00:00,24,24:00:00,100.0,100.0,2024-05-02T16:00:00Z,2024-05-03T01:00:00+09:00,2024-05-03T15:00:00Z,2024-05-04T00:00:00+09:00
433.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-05-03T15:00:00Z,2024-05-04T00:00:00+09:00,2024-05-04T15:00:00Z,2024-05-05T00:00:00+09:00,10.0,10.460000038146973,14.75,16.0,20.25,5410.5,9999.0,432.7083435058594,2037.61572265625,24,24:00:00,24,24:00:00,100.0,100.0,2024-05-03T16:00:00Z,2024-05-04T01:00:00+09:00,2024-05-04T15:00:00Z,2024-05-05T00:00:00+09:00
13.9,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-05-04T15:00:00Z,2024-05-05T00:00:00+09:00,2024-05-05T15:00:00Z,2024-05-06T00:00:00+09:00,5.0,5.460000038146973,7.0,9.0,22.25,27.540000915527344,28.0,13.875,8.15775203704834,24,24:00:00,24,24:00:00,100.0,100.0,2024-05-04T16:00:00Z,2024-05-05T01:00:00+09:00,2024-05-05T15:00:00Z,2024-05-06T00:00:00+09:00
428.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-05-05T15:00:00Z,2024-05-06T00:00:00+09:00,2024-05-06T15:00:00Z,2024-05-07T00:00:00+09:00,1.0,1.0,4.75,11.0,19.25,5414.18017578125,9999.0,428.125,2038.6083984375,24,24:00:00,24,24:00:00,100.0,100.0,2024-05-05T16:00:00Z,2024-05-06T01:00:00+09:00,2024-05-06T15:00:00Z,2024-05-07T00:00:00+09:00
438.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-05-06T15:00:00Z,2024-05-07T00:00:00+09:00,2024-05-07T15:00:00Z,2024-05-08T00:00:00+09:00,5.0,5.460000038146973,15.75,24.0,30.5,5416.93994140625,9999.0,437.75,2036.5623779296875,24,24:00:00,24,24:00:00,100.0,100.0,2024-05-06T16:00:00Z,2024-05-07T01:00:00+09:00,2024-05-07T15:00:00Z,2024-05-08T00:00:00+09:00
425.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-05-07T15:00:00Z,2024-05-08T00:00:00+09:00,2024-05-08T15:00:00Z,2024-05-09T00:00:00+09:00,4.0,4.460000038146973,6.0,7.5,11.25,5405.89990234375,9999.0,424.7916564941406,2039.2999267578125,24,24:00:00,24,24:00:00,100.0,100.0,2024-05-07T16:00:00Z,2024-05-08T01:00:00+09:00,2024-05-08T15:00:00Z,2024-05-09T00:00:00+09:00
14.5,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-05-08T15:00:00Z,2024-05-09T00:00:00+09:00,2024-05-09T15:00:00Z,2024-05-10T00:00:00+09:00,6.0,6.920000076293945,12.75,14.5,17.25,21.0,21.0,14.458333015441895,4.170071125030518,24,24:00:00,24,24:00:00,100.0,100.0,2024-05-08T16:00:00Z,2024-05-09T01:00:00+09:00,2024-05-09T15:00:00Z,2024-05-10T00:00:00+09:00
14.5,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-05-09T15:00:00Z,2024-05-10T00:00:00+09:00,2024-05-10T15:00:00Z,2024-05-11T00:00:00+09:00,8.0,8.460000038146973,12.0,14.0,18.0,19.540000915527344,20.0,14.541666984558105,3.729776382446289,24,24:00:00,24,24:00:00,100.0,100.0,2024-05-09T16:00:00Z,2024-05-10T01:00:00+09:00,2024-05-10T15:00:00Z,2024-05-11T00:00:00+09:00
10.6,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-05-10T15:00:00Z,2024-05-11T00:00:00+09:00,2024-05-11T15:00:00Z,2024-05-12T00:00:00+09:00,6.0,6.460000038146973,8.75,10.5,13.0,15.079999923706055,16.0,10.625,2.6834840774536133,24,24:00:00,24,24:00:00,100.0,100.0,2024-05-10T16:00:00Z,2024-05-11T01:00:00+09:00,2024-05-11T15:00:00Z,2024-05-12T00:00:00+09:00
